timestamp,thermistor,pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,people_number,confidence
18_24_32.776613,29.9375,25.75,26.5,25.5,26,26.5,25.5,25.75,26.25,26,26,26.5,25.75,25.5,26,25.75,26.5,26.5,25.75,26.25,26,25.75,26.25,26.5,26.25,25.25,25.75,26,26,26,26,25.25,26,26,26.25,26.25,26.25,25.25,25.5,26,26,26,25.25,25.75,25.75,25.75,25,26,26.25,25.25,25.25,25.5,25.75,25.5,26.5,25.5,26.25,24.25,25.25,26,24.75,25.75,25.75,24.75,25,0,e
18_24_32.876849,29.9375,25.75,26,26,25.5,26.5,25.75,26.25,26.25,25.75,26,26.5,25.75,25.75,25.25,26.5,26,26.25,26.5,26.5,26,25.5,26.25,26.25,26.25,26,25.25,26.5,25.25,26.25,25.75,26,26.25,26,25.5,26,26,25.75,25.5,26,25,26,25.5,26,26,26.25,25.5,26.5,25.75,25.25,25.5,25.5,25.5,24.5,26.25,25.5,25.5,25.25,26,25.75,25.5,26,25.25,25,26.5,0,e
18_24_32.977080,29.9375,26.25,26.25,25.75,26,25.75,25.25,26.25,26.25,25.25,25.75,26,25.5,25.75,26.25,25,26,25.25,25.25,26.5,25.5,25.5,25.25,26,26,25.5,25.5,25.5,25.75,25.75,25.75,25.5,25.5,25.75,25.5,25.75,25.75,25.5,24.75,26.25,25.5,25.75,25.75,25.5,25.75,25.75,24.75,25.75,26.5,24.75,25,25.5,25.25,25,25.5,24.75,25.75,25,24.75,26,25.75,25.5,25.25,25,24,0,e
18_24_33.077315,29.9375,25.75,26.25,25.5,26.25,26,25.5,26.75,26.5,25.5,25.75,26.5,25.75,25.75,26.25,26,26.25,25.75,25.75,26.25,26,25.5,26.25,25.75,26,26.25,25.25,26.25,26,26.5,25.75,26,26,25.5,25.75,26.25,26,25.25,25.75,26,25.5,26,26,26,26,25,25.5,26.25,26.25,25.5,25.25,26,25.5,25.5,26,25.25,25.25,25.5,25.5,25.75,25.5,26,26,25,25.25,0,e
18_24_33.177520,29.9375,26,26,25.75,25.5,26.25,25.25,26.25,25.75,25.75,25.75,26.5,26,25.25,26.25,25.5,26,26,25.25,26.75,26,25.75,25.5,26.5,26.5,26.25,25.25,25.75,25.75,26.25,26.25,25.75,26.25,25.75,26,26,25.5,25.5,25.5,26.25,25.75,26,26,25.25,25.75,25.5,25.25,26,26.25,25,25.75,25.5,25.5,25.25,25.75,25.5,26,25.5,25.75,25.25,25,25.25,25.25,24.75,25.75,0,e
18_24_33.277750,29.9375,26.25,26.75,26,26,26,25.75,26.5,26.25,26,26,25.5,26,25.5,26,26.5,26,26.25,25.75,26,25.75,25.5,26.5,26,26.5,25.25,25.75,26,25.75,26.25,26,26,26.25,25.75,25.5,26,25.25,25.5,25.25,26.25,25.25,25.25,25.5,25.75,26.25,25.75,25,26.25,26.5,25.5,25.5,26.5,25.5,25,26,25.5,26,25,25.75,25.25,25.5,25.75,26.5,25.25,25.25,0,e
18_24_33.377970,29.9375,25.5,25.75,26,25.75,26,25.25,26,26.5,26,25.75,26.25,25.5,25.5,27.25,26.5,27,25.75,26.5,26,25.75,25.5,25.5,26.25,26.5,25.5,26.25,26.25,25.25,26.5,25.75,25.5,26,25.5,26,26.5,25.75,26,26,26.25,25.25,26,26,25.25,25.5,26,26,26.25,26.25,25,25.5,26.5,25.5,25.25,26,25.5,26,25.25,25.5,25.5,25.5,25.25,25.5,25.25,25.75,0,e
18_24_33.478211,29.9375,26.25,26,25,26,26.25,25.5,26.75,26.5,25.75,25.5,26.25,25.5,24.75,26,25.5,26,25.5,26,26.5,25.75,25.25,25.5,26.25,26.5,25.75,25.5,25.75,25.5,26,25.75,25.75,25.75,25,25.5,26,26,25.75,25.25,25.75,25,26,25.5,25.75,25.25,25.5,25,25.75,26.25,24.75,25.25,26,25.25,24.75,25.25,25,25.25,24.5,25.25,25,25.75,25,26.25,25.75,25,0,e
18_24_33.578418,29.9375,26.75,26.25,26,26.5,25.25,25.75,26,26.5,26.5,26,26.75,25.75,26.25,26.25,26.25,26,26.5,26.5,26.25,25.75,25.75,26.5,26.5,26,26,26.5,26.25,26,26,26.5,26.5,26.25,26,25.25,26.5,25.75,26,25.75,26,25.75,25.5,25.75,25.75,26.25,25.75,25.5,26,26.5,24.75,25.75,25.75,25.5,25,26.25,24.75,24.75,25.25,25.5,26,25.5,25.25,25.5,25,25.75,0,e
18_24_33.678659,29.9375,25.75,26.25,25.5,26.25,25.75,25.75,25.75,26.5,25.75,25.75,26.5,25.5,25.5,26.5,26.25,25.5,26.25,25.75,26,26,25.25,26.25,26.25,26.5,25.25,25.75,26.25,26,26,25.5,25.75,26.5,26,26,26.75,26.25,25.5,25.75,25.75,25.75,25.75,26,25.5,26,25.5,25,26,26,26,25.25,25.75,25.75,25.5,26.25,25.75,25.75,25,25.75,26,25.5,25.75,25.75,25.25,25.5,0,e
18_24_33.779103,29.9375,26.25,26.5,25.75,26.25,26.25,25.5,27,26.25,26,26,25.5,26.25,25.5,25.75,26,26.25,26.25,25.75,26,26,25.75,26.25,26.5,26.75,26,25.5,25.75,26,26,25.75,25.75,26,25.5,25.5,26.25,25.75,25,25.75,26,26.25,26,26,25.25,25.75,25.75,25.5,26,26,24.5,25.25,25.25,25.5,25,25.5,25.5,25,25,25.25,26,25.25,26,25.75,25.5,24.5,0,e
18_24_33.879336,29.9375,26.25,26.25,26.5,26,25.75,26.25,26.25,26,26.25,26,26.75,26,25.75,26.5,25.75,26,25.75,26.5,26.75,26.25,26,26.25,26.5,26.75,25.75,25.25,26,26.25,26.25,26.5,25.75,26,25.5,26,26.5,26,25.5,26,26,25.75,25.5,26,25.25,26,25.25,26,26,26.75,25,25.5,26.25,25.25,25.75,25.75,25.25,25,25.5,25.5,25.75,26,25.25,25.5,25.75,25.5,0,e
18_24_33.979541,29.9375,25.75,26.25,25.75,26.25,25,25.5,26.25,26.5,25,26,25.75,26,25.5,25.5,25.75,25.75,25.75,25.75,26,25.5,26,26,25.75,25.75,25.5,25.5,25.5,25.75,26,26,25.5,26,25.75,25.5,25.5,26.25,25.75,25.25,25.5,25.5,26.25,26,24.75,25.75,25.75,25.5,25.75,26.75,25,25.5,25.75,25.25,25,26,25.75,25.5,24.5,25,25.5,25.75,25.25,25.75,25,24.75,0,e
18_24_34.079778,29.9375,26,27,26,26.5,27,25.5,25.75,26.25,26,25.75,26.25,25.5,25.75,26.25,26.25,26,26.25,25.75,26.5,26,25.5,26,26.5,25.75,25.5,25.75,26,26.25,26.5,26,26.25,25.75,26,26.25,26,26,25.75,25.5,26,25.5,26,26.25,26,26,26,25.25,26.5,26,25.5,26,26,25.75,25.5,25.5,25.25,25.5,25.5,25.25,25.75,25.25,26,25.5,25.25,25.25,0,e
18_24_34.179997,29.9375,25.75,26.5,25.75,26.5,26.5,25.5,26.25,26.25,26,25.5,26.25,26,25,25.75,25.75,25.75,25.75,25.75,26,25.75,25.75,26.25,26.5,26,25.5,25.25,25.75,25.75,26,25.5,25.75,25.75,26,25.25,26,25.75,25.75,25.25,26,25,25.75,25.5,25.25,26,26,25.25,25.75,26.75,25,25.25,25.75,25.75,25.25,25.75,24.75,25.5,25,25.75,25.5,25.75,25.75,25.75,25.5,25.25,0,e
18_24_34.280256,29.9375,26.75,25.5,26.25,26.25,25.5,25.5,26.5,25.75,26,25.75,26.25,26.25,25.25,25.5,25.5,25.75,26,25.5,25.75,25.75,26,26,26,26.25,25.5,26.25,26,26.25,26,25.75,25.5,26,26,25.75,26.25,26,25,25,26,26,25.5,26,25.25,25.75,25.75,24.75,26,26.75,25.5,26,25.75,25.75,25.5,25.75,25.5,25.5,24.5,25.25,26.75,25.5,25.5,25.75,25.25,25.5,0,e
18_24_34.380447,29.9375,25.25,26.75,25.75,26.25,25.75,26.25,26.75,27,26.25,25.5,26.25,25.75,25.5,26.25,25.5,26.25,26.25,26,26,26,26,26.25,26.25,26.5,25.75,25.75,26,25.5,26.5,26.25,26,26.25,25.5,26,26.5,26,25.25,26,25.75,25.5,25.5,25.75,25.5,25.5,25.25,25.25,26.25,26.5,25.75,26.25,26.25,25.75,25,26,26,26,25.5,24.75,26.25,25.25,25.25,25.75,26,25.5,0,e
18_24_34.480704,29.9375,26.25,26,25.5,25.5,25.5,25.5,25.5,26.75,25.5,25.25,26,26,25.5,26,26,26,26,25.75,26.25,25.5,25.5,26.25,26.25,26.25,25.5,25.25,25.75,25.5,26.25,26.25,25.25,26.25,25.5,25.75,25.75,25.5,25.5,25.25,25.5,25,25,25.5,25,25.75,25.25,25.25,26,25.75,25.25,25.25,25.75,25,25.25,25.5,25.25,25.25,24.25,25.75,25.5,25,25.25,25.75,25.25,24.5,0,e
18_24_34.580937,29.9375,25.5,26,25.75,25.75,25.75,26.25,26.25,26.5,25.25,25.5,26,25.75,25.5,26,26,25.75,25.75,25.75,26.5,26.25,25.75,26.25,26.75,26.75,25.5,25.75,26,25.5,26.25,26.5,25.75,25.75,26,26.25,26,25.5,25.5,25.75,25.25,25.5,26.5,26,25.75,26.25,25.75,25.75,26,26.5,25,25.75,26,26,24.75,26,26,25,25.25,25.25,25.75,25.75,25.25,26,25.5,26.5,0,e
18_24_34.681163,29.9375,26,26,25.5,26.5,26,25.75,25.75,26.5,25.25,25.75,26.5,25.5,25.5,26.25,26.25,26.25,26.25,26,26.25,25.75,25.75,25.75,26.25,26,25.75,25.75,26,26,26.5,26.25,25.75,25.5,25.5,26,26.25,25.75,25.5,25.5,25.75,25,25.5,25.5,25.75,25.25,25.5,25.75,26,26.25,25.75,25,26,25.25,25,25.25,26,25.25,25.25,25.5,25.75,26,25.5,26.5,25.25,25,0,e
18_24_34.781371,29.9375,26.5,26.5,25.75,26,26.25,25.5,25.75,26.25,26,26.75,26.25,26.25,26,26.5,25.75,26,26.25,26,26.25,26,26,26.5,26.75,26.25,26.5,26,26,25.25,25.75,26,25.5,26.25,26,26.25,26,25.75,25,25.25,25.5,25.5,25.75,25.75,25.75,25.75,26.25,25.75,26,26,25,25.25,25.75,25.5,25.5,26,25.75,25.5,25.25,25.25,25.75,25.5,25.5,26,25.5,25,0,e
18_24_34.881600,29.875,25.75,26,25.75,26,25.75,26,26,26.5,25.75,25.5,26,26.25,25.5,26.5,25.75,26.75,25.25,25.75,26.5,26,25.5,26,25.75,26,25.5,25.5,26,26,26,26,25.75,26,25.75,25.5,26.25,25.75,25.5,25.5,25.75,25.25,25.25,25.5,25.5,26.5,26,25.25,26,27,25.5,26,26.25,25.5,25,25.75,25.25,25.25,25,25.5,25.75,25.75,25.5,26,25.25,25.5,0,e
18_24_34.981896,29.9375,25.75,26,25.5,26.25,25.75,25.25,26,26.5,25.75,25.25,25.5,25.5,25,25.75,25.5,25.75,25.5,25.75,26.25,25.5,25.25,26.25,26,25.25,25.25,25.5,25.75,25.25,26,26,25.25,26,25.5,25.75,26,25.5,25.5,25.25,25.75,24.5,24.75,25.5,25.75,25.5,25.75,25,25.5,25.25,24.75,25,25.5,25,24.75,25.75,25.25,25.25,24.5,25.5,25.75,25.25,25.25,25.5,25.25,24.75,0,e
18_24_35.082145,29.9375,25.75,26.25,26,26.25,26,26.25,26.25,26.25,25,25.75,26,25.75,25,26,26.5,25.75,26.25,25.75,26,25.75,25.25,26.25,26.5,26.25,25,25.75,26,25.75,26.5,25.75,25.75,26.5,25.5,26.5,26.5,26,25.25,25.75,25.75,25.5,25.5,26,25.5,25.5,25.25,25.5,25.5,26,25,25.25,25.75,25.5,25.5,25.5,25.25,25.25,26,25.75,25.75,25.5,25.5,25.75,25.25,26,0,e
18_24_35.182338,29.9375,25.75,26,26,26,25.75,25.75,26,25.5,26.25,25.5,26.5,25.75,25.5,26.75,25.75,26.5,26.5,26,26.5,26,26.25,26.25,26,26.25,25.25,25.75,25.5,25.5,26.25,26,25.5,26.25,25.25,25.25,26.25,25.75,25,25,25.5,25.75,26.5,25.75,25.75,25.75,25.75,25.25,26.5,26.5,25,26,26,25,25,25.5,25.5,25.5,24.5,25.75,25.75,25.5,25.25,25.5,24.75,25.5,0,e
18_24_35.282571,29.9375,25.75,26,26,26,26.25,26,25.75,26.25,26,25.5,25.75,25.75,25.25,26.25,25.5,26.5,26.25,26.25,26.75,26,26,26.25,26.5,26.25,25.75,25.5,26,25.75,26.25,26,25.5,26,25.5,25.75,26,25.5,25.25,24.5,26,24.75,25.75,25.5,25.25,26,25.25,25.25,26,26,25.5,25.75,25.75,25.5,24.5,25.75,25.5,25.25,25.5,25.5,25.25,25.25,25.25,25.25,25.25,24.75,0,e
18_24_35.382794,29.9375,26,26.25,25.5,26.5,26.25,26,25.75,26.25,25.5,26.25,26.25,26,25.75,26.25,26,26,25.75,26.25,26,26,25.75,26,26,26.25,25.5,26,26,25.75,26.25,26,25.75,26.25,26.25,25.25,26,25.5,25.75,25.25,25.75,25.75,26.25,25.75,25.25,26,25.75,25.25,26.5,26,25.25,25.5,25.75,26,25.25,26.25,25.5,26.5,24.25,26.25,25.75,25.5,25.75,26.25,25.25,25.75,0,e
18_24_35.483013,29.9375,26.5,26.25,25.5,26.5,26.25,25.25,26.25,26.25,25.5,26.25,26.25,25.75,25.5,26.25,25.5,26.25,25.5,26.25,25.25,25.75,25.5,25.75,25.5,26,25.5,25,25.75,25.5,25.5,25.5,25.75,25.75,25.5,26.5,25.5,25.75,25.25,25.5,25.75,25.25,25.75,25.5,25.25,25.75,25.5,24.75,26,25.5,24.75,25,25.5,24.75,24.5,25,24.75,24.5,25,24.75,25.5,25,25.5,25.75,24.25,25,0,e
18_24_35.583289,29.9375,25.75,25.5,25.75,26.25,25.25,25.75,26,26.25,25,25.75,25.5,25.75,25.5,26.25,26.25,26.5,25.5,25.75,26.5,25.75,26,25.75,26,25.75,25.25,25.25,26.5,25.5,26.5,25.5,25.5,26,25.25,25.75,26.5,25.75,25.5,25.25,25.75,25,26,26,25.25,25.5,25.75,25,25.75,26,24.75,25.25,26.5,25.5,25,25.5,25.25,25.25,24.75,25,26.25,25.5,25.25,25.5,25.25,24.75,0,e
18_24_35.683515,29.9375,25.75,26.25,26.25,26.75,25.75,26.75,26.25,26.25,26.25,25.25,26.25,25.25,25.5,25.75,26.25,26.5,25.5,25.75,26,25.5,26,26.25,25.75,26.25,25.5,25.5,26.25,25.75,25.75,26,26.25,26,25.75,26.5,26,25.5,25.5,25.5,26.25,25,25.5,25.5,25,26,25.5,25.5,26,26,24.5,26.25,25.75,25.75,25,26.5,25.5,26.5,24.5,25.25,25.5,26,25.75,25.75,25.25,26.25,0,e
18_24_35.783742,29.9375,26.25,26,25.75,26.25,26.75,25.75,26.25,27,25.75,25.75,26.5,26,25.75,26,26,26.5,25.25,25.75,26,25.5,26,26.25,26.25,26.25,25,25.5,26,25.25,26.25,26,25.5,26,26.75,25.5,26,25.5,25.75,26,26.25,25.5,26.25,26,25.5,26,25.75,25.25,26.5,25.5,25,24.75,25.5,25.25,24.5,25.75,25.5,24.5,25.25,25.25,25.75,25.75,25.25,25.25,25,24.75,0,e
18_24_35.883996,29.9375,26.75,26,25,25.75,26.25,26,26.25,26,25.5,25.75,26.25,26.25,25.25,26,25.5,26.5,25.75,25.5,26.25,25.5,26,26.5,26.25,26.75,25.75,25.25,25.75,25.5,26.25,25.75,25.5,26.25,25.75,26.25,26.25,25.75,25.75,25.5,25.75,25.5,25.25,26,25.5,26,25.5,25.25,25.75,26,25.25,25.75,25.5,25.75,25.25,26.5,25.25,25.5,24.25,25.25,25.75,25.75,25.5,26,25,25,0,e
18_24_35.984187,29.9375,25.5,26.25,26,26,25.5,26,25.75,26.75,25.25,25.75,25.5,25.75,25.5,25.75,26,26.5,25.75,25.75,26,25.5,26,26.5,26.25,26.75,25.75,25.25,25.75,25.5,25.5,26.25,25.75,25.25,26,25,26.5,25.75,25.5,25.25,26.25,25.25,26,24.75,25.25,25,25.5,25,25.25,26,25.25,25.25,25.75,25.25,24.75,25.75,24.25,25.5,24,25.25,25.25,25,24.75,26,24.75,24.75,0,e
18_24_36.084430,29.9375,26,25.75,25.25,25.75,25.75,26,26.75,26.5,25.25,26,25.25,25.5,25,26.25,26,25.75,26,25.75,25.75,26.25,25.5,25.75,26.25,25.75,25.5,25.25,25.75,25.25,25.5,26.25,25.75,25.25,26,25.5,25.5,25.75,25,25.75,26.25,26.25,25.75,26,25.25,26,25.5,25.5,26,26.5,25,26,25.5,26.25,25.25,26,25,25.5,24.75,25.25,25.25,25.75,25.25,26.25,25,24.25,0,e
18_24_36.184683,29.9375,25.75,26,25,26.5,25.75,26.5,26.5,26.25,26,25.75,26.25,25.5,26,26,25.75,26.5,25.5,25.75,26.25,25.5,25.5,26.5,26.75,26.5,25.5,25.25,25.75,25.25,25.75,25.5,25,26,26,25.5,25.75,25.75,25.25,25.75,25.5,25.75,25.75,26.25,25.25,26,25.75,25.25,26,25.5,25.25,25,25.75,25.5,25.5,25.75,25.75,25.5,25.25,25.5,26,25.5,25.5,25.75,25.75,24.75,0,e
18_24_36.284909,29.9375,25.5,26,25.5,26,26.25,26.25,26.5,27,25.25,26,26.5,26,25.25,26,25.5,26.25,26.25,25.75,26.25,25.75,25.75,25.75,26,26.75,26,25.25,25.75,25.5,26.5,26.75,25.5,26.25,26,25.5,25.75,25.75,25.25,25.75,26,25.25,25.75,26,25.25,25.75,25.5,25.75,25.5,26.25,24.75,25,25.5,25,25.25,26,25,25.5,24.75,25.25,26.5,25.5,25.5,25.5,25,24.75,0,e
18_24_36.385135,29.9375,25.5,25.5,26,26,25.75,26,26.25,25.75,25.75,26,26.75,26,25.5,26,26.25,26.5,25.75,25.5,26.25,26.25,25.75,25.75,26,26.25,25.25,26.25,25.75,25.75,25.75,26,25.5,25.75,26.25,25.75,26.25,25.5,26,25.25,26,25.25,25.75,26,25.25,26,25.5,25.5,26.25,26.25,25,24.75,25.25,25.5,25.25,25.75,25.25,24.75,24.75,25,25.75,25.75,25,25.5,25.5,24.25,0,e
18_24_36.485375,29.9375,25.75,26.25,25.25,26,26.25,26,26,26.5,25.75,25.75,25.75,25.25,25.75,26,26,26.5,25.75,25.75,25.75,25.75,26,26.25,26.5,26,25.5,25.25,25.75,25.25,26,26,25.75,25.75,25.25,26.25,26.25,25.75,25.75,25.75,25.5,25.25,25.75,26,25.25,26,25.5,24.75,25.75,25.5,25.25,25,24.75,24.75,25,25.25,24.25,24.75,24.25,25,25.75,25.25,24.75,25.5,25.5,25,0,e
18_24_36.585615,29.9375,25.5,26.25,25.5,25.5,25.75,25.75,25.5,26,25,25.25,26.5,25.25,25.5,26,26.25,25.75,25.5,25.75,25.75,25.5,25,25.75,25.75,26.25,25,25.5,26,24.75,26,26,25,25.5,25.75,25.25,26,25.5,25.75,25.25,25.75,24.25,25.25,25,25,25.25,25.5,24.75,25.75,25.5,24.5,26,25.25,25,25,26,25.5,26,24.75,25.5,25.75,25.5,25.25,25.75,25.25,25,0,e
18_24_36.685899,29.9375,25.75,26.25,25.5,26,26,26.5,26.5,26.25,25.5,25.75,25.75,25.5,26,26.5,26.25,26,25.75,25.75,26.25,25.5,25.25,26,26,26,25.5,25,25.75,25.5,26,26,25.75,26.75,26.25,25,25.75,25.5,25,25.5,26,25.5,25.25,26,25.5,25.5,26.25,25,25.75,26.25,24.75,24.5,26,24.5,25,26.25,25.25,25.5,24.5,26.25,25.75,25.25,25.25,25.5,25,24.75,0,e
18_24_36.786075,29.9375,25.75,25.5,25.25,26.5,26,25.5,26,26.25,25.25,25.75,26.5,26,25.5,26,26.5,26,25.75,25.75,26.75,25.75,25.75,26,26.25,26,25.25,25.5,25.75,25.5,26,25.25,25.75,25.75,25.25,25.5,25.75,25.5,25,25.5,26,25.5,25.25,26,25.5,25.5,26.25,25,25.75,26.25,24.75,24.5,26,24.5,25,26.25,25.25,25.5,25.25,25.25,25.75,25.5,25.75,26.25,25,25,0,e
18_24_36.886303,29.9375,25.5,26,25.75,25.75,26,25.75,26.75,26.5,25.75,25.25,26.25,26.5,25.25,26,25.75,26,25.5,26,26,25.5,25.5,26.25,25.75,26.25,25.75,25.5,26,25.75,25.5,25.25,25.25,25.75,26,25.75,26.5,25.5,25.5,25.5,25.75,25,25.75,26,25.25,25.25,25.25,25.75,26,27,25,25.25,26,25.25,25,25.5,25.5,25.25,25.25,25.25,25.75,25.25,25.25,26,25,25.25,0,e
18_24_36.986541,29.9375,25.25,26.5,25.75,26.25,25.75,26.25,26.25,26.25,26,26,26.25,25.5,25.5,26.25,26.25,25.75,25.25,25.25,25.5,26,25.25,26,26.5,26.25,25,25.75,26,25.75,25.75,26,26,25.75,25.75,25.5,26.25,25.75,25.5,25.25,25.75,24.25,26,25.75,25.5,25.75,25.5,24.75,26,26,25.25,25.25,25.75,25.75,25,26,24.5,25,25.5,25.25,26,25.25,25.25,25.75,25.5,24.5,1,h
18_24_37.086770,29.9375,25.25,25.75,25,25.75,26.5,26.75,25.5,26.25,25,25.25,26,25.5,25.5,25.5,26,26,25.25,26.5,26,25.5,25.5,25.75,25.5,25.5,25.25,25.25,25.5,25.25,26.25,25.75,25.25,25.75,25.25,25.5,25.5,25.25,25.25,25,25.75,25.25,25.5,25.5,25.25,24.75,25.75,25,26,25.75,24.25,25.25,24.75,25.25,24.75,25.5,25,24.25,24.75,25,25.25,25,24.5,25.75,25.5,24.5,1,e
